LG,QM,EIY,GLQ,HLL,HML,IKW,KER,KHK,KNV,TNQ,VNK,AEM,ALG,AMN,CTG,DAQ,DAYM780201.lag26,DCQ,DFG,DLK,DVK,DVW,EEM,EM,EY,EYA,EYL,FDE,GGL,GLT,GVL,HRD,IFP,IFT,IIT,ILM,IPI,IVL,IYD,KN,KQS,KTP,LKN,LKP,LME,LNT,MEY,MLT,MM,MMS,MN,MNG,MPN,MRI,MVI,NK,PAG,Pc1.M,Pc2.Hydrophilicity.24,PCH,PFC,PIY,PKF,PSQ,QGF,QI,QII,QLM,QQM,RDL,RGP,RYD,SCK,SFE,SNC,SQR,TMR,VGF,VGG,VHC,VLT,VPQ,WYW,YKI
0.006756757,0.001689189,0,0.001692047,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.009976494,0,0,0,0,0,0,0.003378378,0.001689189,0,0,0,0.001692047,0,0,0,0,0,0,0,0,0,0,0.003378378,0,0,0,0,0.001692047,0,0,0,0,0,0.001689189,0,0,0,0,0.003378378,0,14.77948693,-1.42758e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006122449,0.001020408,0,0,0.00102145,0,0,0,0,0,0,0,0,0.00102145,0,0,0,-0.020550598,0,0,0,0,0,0,0.003061224,0,0,0,0,0.002042901,0,0,0,0,0.00102145,0,0,0,0,0,0,0,0,0,0,0,0.00102145,0,0,0,0,0.001020408,0,0,0,0,0,0.00102145,16.82594454,0.001120789,0,0,0,0,0,0,0.003061224,0.00102145,0,0,0,0,0,0,0,0,0,0,0,0.002042901,0,0.00102145,0.00102145,0,0
0.020114943,0,0,0,0,0,0,0,0,0,0,0,0,0.005763689,0,0,0,-0.04044115,0,0,0,0,0,0,0,0.002873563,0,0,0,0.002881844,0,0,0,0,0,0,0,0,0,0,0.002873563,0,0.002881844,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005747126,0,7.177162183,-0.001075619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.007598784,0,0,0,0,0,0,0.00152207,0,0,0,0,0,0.00304414,0,0,0,-0.008548457,0,0,0,0,0.00152207,0,0.001519757,0.006079027,0,0.00304414,0,0,0,0,0,0,0,0,0,0,0.00304414,0,0,0,0,0,0,0,0,0,0,0.001519757,0,0,0,0,0,0,0.001519757,0,19.69319295,-6.62917e-4,0,0,0,0,0,0,0.003039514,0,0,0,0.00152207,0,0,0,0,0,0,0,0,0,0,0,0.00152207,0,0
0.003623188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047400131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007246377,0,0,0,0,0,0,0,0,0.003623188,0,0.003623188,0,0,0,0,0,0,6.149803031,0.003222884,0,0,0,0,0,0,0.003623188,0,0,0,0,0.003636364,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046733708,0,0,0.003225806,0,0,0,0,0.003215434,0,0.003225806,0,0.003225806,0,0,0,0,0,0,0,0,0,0,0.009646302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006430868,0,5.34860732,0.00598939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003523608,0.002114165,0,3.52485e-4,7.0497e-4,0,0,0,0,3.52485e-4,0,3.52485e-4,0,3.52485e-4,0,0,0,0.049037188,0,0,7.0497e-4,3.52485e-4,0,0,0.001057082,0.001409443,0,7.0497e-4,3.52485e-4,3.52485e-4,3.52485e-4,3.52485e-4,0,0,0,3.52485e-4,0,0,0,0,0.002114165,0,0,0.00140994,3.52485e-4,3.52485e-4,0,0,0,0.001409443,3.52485e-4,7.04722e-4,0,0,3.52485e-4,0,0.003523608,0,81.97187846,1.63e-5,0,0,0,3.52485e-4,3.52485e-4,0,0.003171247,7.0497e-4,0,0,3.52485e-4,0,0,0,3.52485e-4,0,3.52485e-4,3.52485e-4,0,0,0,7.0497e-4,3.52485e-4,0,0
0.006329114,0,0,0.002114165,0.006342495,0,0,0,0,0,0,0.002114165,0,0,0,0,0,0.033229448,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002114165,0,0,0,0,0,0,0,0,0,0,0.002114165,0,0,0,0,0,0,0.002109705,0,0,0,0,0,0,0.002109705,0.002114165,6.829073856,9.46251e-4,0,0,0,0,0,0,0.002109705,0,0,0,0,0,0,0,0,0,0,0,0,0.002114165,0,0,0,0,0
0.014553015,0.002079002,0,0,0,0,0,0,0,0,0,0,0,0.002083333,0,0,0,-0.01645326,0,0,0,0.002083333,0,0,0,0,0,0,0,0,0,0,0.002083333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.85452133,0.002013406,0,0,0,0,0,0,0.002079002,0,0,0,0.002083333,0,0,0,0,0,0,0,0,0,0,0.002083333,0,0,0
0.006666667,0,0,0,0,0,0,0.001669449,0,0,0,0,0,0,0,0,0,0.03904277,0,0,0,0,0,0,0.001666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001669449,0,0.008333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,5.180551283,0.00504578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005134788,0,0,0.001285347,0,0,0,0,0,0,0,0,0,0.001285347,0,0,0,0.032643817,0,0,0,0,0,0,0.001283697,0.001283697,0,0,0,0.001285347,0,0.002570694,0,0,0,0,0,0.001285347,0.001285347,0,0.006418485,0,0,0,0,0,0.001285347,0,0,0,0,0,0,0,0,0,0.002567394,0,10.35537725,-4.72676e-4,0,0,0,0,0,0,0.001283697,0,0,0,0,0,0,0,0,0,0,0,0.001285347,0.001285347,0,0,0,0,0
0.001264223,0,0,0,0,0,0,0,0,0.001265823,0.001265823,0,0,0,0,0,0,0.044473913,0,0,0,0,0,0,0,0.002528445,0,0,0,0.001265823,0,0.001265823,0,0,0,0,0,0,0,0,0.007585335,0.001265823,0,0,0,0,0,0,0,0,0,0,0,0,0.001265823,0,0.00505689,0,13.22150987,3.78151e-4,0,0,0,0,0.002531646,0,0.001264223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
