_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-5.6,TRR01225,M1,1,0,TRRUST,34,Regulated by: SIRT1,,-5.6,11,8.2,30169,50,374,7,1.9,0.7,595|999|1499|3075|4683|4851|7157,CCND1|CDH1|CTNNB1|CFH|NBN|NOTCH1|TP53,-4.5,0
1,-5.4,TRR00422,M1,1,0,TRRUST,34,Regulated by: GLI2,,-5.4,20,9.6,30169,20,374,5,1.3,0.59,596|999|2303|3725|10468,BCL2|CDH1|FOXC2|JUN|FST,-4.4,0
1,-5.4,TRR00908,M1,1,0,TRRUST,34,Regulated by: NR3C1,,-5.4,11,7.9,30169,53,374,7,1.9,0.7,595|672|1019|2668|4128|4790|7157,CCND1|BRCA1|CDK4|GDNF|MAOA|NFKB1|TP53,-4.3,0
1,-5.3,TRR00362,M1,1,0,TRRUST,34,Regulated by: FOXM1,,-5.3,19,9.4,30169,21,374,5,1.3,0.59,367|999|1029|7422|83990,AR|CDH1|CDKN2A|VEGFA|BRIP1,-4.3,0
1,-5.3,TRR00023,M1,1,0,TRRUST,34,Regulated by: ATF2,,-5.3,13,8.4,30169,36,374,6,1.6,0.65,595|3630|3725|4214|5970|8869,CCND1|INS|JUN|MAP3K1|RELA|ST3GAL5,-4.3,0
1,-5.3,TRR01235,M1,1,0,TRRUST,34,Regulated by: SMAD3,,-5.3,13,8.4,30169,36,374,6,1.6,0.65,3725|5054|5447|7040|7422|10468,JUN|SERPINE1|POR|TGFB1|VEGFA|FST,-4.3,0
1,-5.2,TRR01047,M1,1,0,TRRUST,34,Regulated by: PML,,-5.2,18,9.1,30169,22,374,5,1.3,0.59,595|1956|2033|7157|10499,CCND1|EGFR|EP300|TP53|NCOA2,-4.2,0
1,-5.1,TRR00515,M1,1,0,TRRUST,34,Regulated by: HOXB7,,-5.1,29,11,30169,11,374,4,1.1,0.53,595|1027|1956|7422,CCND1|CDKN1B|EGFR|VEGFA,-4.1,0
1,-5.1,TRR01260,M1,1,0,TRRUST,34,Regulated by: SP4,,-5.1,29,11,30169,11,374,4,1.1,0.53,595|2064|4790|5970,CCND1|ERBB2|NFKB1|RELA,-4.1,0
1,-5.1,TRR01156,M1,1,0,TRRUST,34,Regulated by: RBPJ,,-5.1,60,13,30169,4,374,3,0.8,0.46,3569|4790|5728,IL6|NFKB1|PTEN,-4.1,0
