,train_size,models,train_scores_fold1,train_scores_fold2,train_scores_fold3,train_scores_fold4,train_scores_fold5,train_scores_fold6,train_scores_fold7,train_scores_fold8,train_scores_fold9,train_scores_fold10,test_scores_fold1,test_scores_fold2,test_scores_fold3,test_scores_fold4,test_scores_fold5,test_scores_fold6,test_scores_fold7,test_scores_fold8,test_scores_fold9,test_scores_fold10,fit_times_fold1,fit_times_fold2,fit_times_fold3,fit_times_fold4,fit_times_fold5,fit_times_fold6,fit_times_fold7,fit_times_fold8,fit_times_fold9,fit_times_fold10
12,94,LR,0.9680851063829787,0.9787234042553191,0.9680851063829787,0.9680851063829787,0.9680851063829787,0.9680851063829787,0.9680851063829787,0.9680851063829787,0.9680851063829787,0.9680851063829787,0.8857142857142857,0.8857142857142857,0.9714285714285714,0.8285714285714286,0.8571428571428571,0.8571428571428571,0.8857142857142857,0.9142857142857143,0.8285714285714286,0.9411764705882353,0.22713065147399902,0.2305288314819336,0.2534506320953369,0.22925710678100586,0.3894662857055664,0.2610597610473633,0.23469328880310059,0.38755297660827637,0.2292613983154297,0.2921576499938965
13,125,LR,0.976,0.976,0.968,0.976,0.952,0.952,0.952,0.952,0.952,0.952,0.8857142857142857,0.9142857142857143,0.9428571428571428,0.8,0.8285714285714286,0.9142857142857143,0.8857142857142857,0.8857142857142857,0.8857142857142857,0.9411764705882353,0.3429751396179199,0.2551615238189697,0.24994134902954102,0.4518446922302246,0.2596759796142578,0.251690149307251,0.26191210746765137,0.2671234607696533,0.25507235527038574,0.3798692226409912
14,157,LR,0.9808917197452229,0.9745222929936306,0.9554140127388535,0.9681528662420382,0.9745222929936306,0.9745222929936306,0.9745222929936306,0.9745222929936306,0.9745222929936306,0.9745222929936306,0.9428571428571428,0.8571428571428571,0.9714285714285714,0.8285714285714286,0.8571428571428571,0.8857142857142857,1.0,0.9142857142857143,0.8857142857142857,0.9117647058823529,0.3570897579193115,0.27167487144470215,0.2719895839691162,0.27291369438171387,0.27026867866516113,0.27075648307800293,0.2700326442718506,0.3922414779663086,0.27150774002075195,0.27806973457336426
15,188,LR,0.9840425531914894,0.973404255319149,0.9680851063829787,0.9680851063829787,0.973404255319149,0.9680851063829787,0.9627659574468085,0.9627659574468085,0.9627659574468085,0.9627659574468085,0.9142857142857143,0.8571428571428571,0.9714285714285714,0.8285714285714286,0.9142857142857143,0.9142857142857143,0.9428571428571428,0.9428571428571428,0.8571428571428571,0.9411764705882353,0.28935885429382324,0.2830963134765625,0.29667043685913086,0.39528656005859375,0.30156421661376953,0.2939293384552002,0.3040499687194824,0.3239707946777344,0.3013436794281006,0.30730104446411133
16,219,LR,0.9817351598173516,0.9771689497716894,0.9726027397260274,0.9680365296803652,0.9817351598173516,0.9726027397260274,0.9726027397260274,0.9726027397260274,0.9726027397260274,0.9726027397260274,0.9142857142857143,0.8571428571428571,0.9428571428571428,0.8571428571428571,0.8857142857142857,0.9714285714285714,1.0,0.9142857142857143,0.9714285714285714,0.9117647058823529,0.3194737434387207,0.3194918632507324,0.47714662551879883,0.36507296562194824,0.5910763740539551,0.3289034366607666,0.34482359886169434,0.3926582336425781,0.3140523433685303,0.509505033493042
17,251,LR,0.9840637450199203,0.9840637450199203,0.9800796812749004,0.9760956175298805,0.9840637450199203,0.9760956175298805,0.9800796812749004,0.9760956175298805,0.9760956175298805,0.9760956175298805,0.9428571428571428,0.8571428571428571,0.9428571428571428,0.8571428571428571,0.8857142857142857,0.9714285714285714,1.0,0.9142857142857143,0.8857142857142857,0.9117647058823529,0.597404956817627,0.38454294204711914,0.35972046852111816,0.4220576286315918,0.5585458278656006,0.7522015571594238,0.5079925060272217,0.4213252067565918,0.33497142791748047,0.393216609954834
18,282,LR,0.9822695035460993,0.9822695035460993,0.975177304964539,0.9787234042553191,0.9822695035460993,0.9787234042553191,0.9716312056737588,0.9787234042553191,0.975177304964539,0.975177304964539,0.9428571428571428,0.8857142857142857,1.0,0.8571428571428571,0.8857142857142857,0.9714285714285714,0.9714285714285714,0.9142857142857143,0.9142857142857143,0.9411764705882353,0.5287051200866699,0.3743319511413574,0.4442110061645508,0.48856091499328613,0.4465174674987793,0.3799247741699219,0.3802776336669922,0.4128580093383789,0.3826332092285156,0.3732166290283203
19,314,LR,0.9808917197452229,0.9777070063694268,0.9745222929936306,0.9745222929936306,0.9840764331210191,0.9777070063694268,0.9745222929936306,0.9777070063694268,0.9777070063694268,0.9777070063694268,0.9428571428571428,0.9142857142857143,1.0,0.8857142857142857,0.9142857142857143,0.9428571428571428,1.0,0.9142857142857143,0.9428571428571428,0.9411764705882353,0.42106175422668457,0.40429091453552246,0.540917158126831,0.4750399589538574,0.4452207088470459,0.5759773254394531,0.5488648414611816,0.56675124168396,0.43908023834228516,0.4033668041229248
20,31,MLP,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.7714285714285715,0.8,0.8857142857142857,0.8285714285714286,0.7428571428571429,0.7714285714285715,0.8,0.8285714285714286,0.8285714285714286,0.7647058823529411,8.981326580047607,5.820057153701782,6.576701402664185,5.953853368759155,5.658800363540649,5.6678619384765625,5.944033622741699,8.161654710769653,6.513388156890869,7.005759239196777
21,62,MLP,0.9838709677419355,0.9838709677419355,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9142857142857143,0.8857142857142857,0.9142857142857143,0.9142857142857143,0.8285714285714286,0.8,0.9142857142857143,0.9142857142857143,0.8571428571428571,0.8529411764705882,8.232945680618286,8.353150129318237,7.592770338058472,7.115841388702393,7.282649040222168,6.997755527496338,9.125647783279419,10.046375036239624,8.550689458847046,8.558202266693115
