,train_size,models,train_scores_fold1,train_scores_fold2,train_scores_fold3,train_scores_fold4,train_scores_fold5,train_scores_fold6,train_scores_fold7,train_scores_fold8,train_scores_fold9,train_scores_fold10,test_scores_fold1,test_scores_fold2,test_scores_fold3,test_scores_fold4,test_scores_fold5,test_scores_fold6,test_scores_fold7,test_scores_fold8,test_scores_fold9,test_scores_fold10,fit_times_fold1,fit_times_fold2,fit_times_fold3,fit_times_fold4,fit_times_fold5,fit_times_fold6,fit_times_fold7,fit_times_fold8,fit_times_fold9,fit_times_fold10
10,31,STACK2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8857142857142857,0.7714285714285715,0.8857142857142857,0.7714285714285715,0.8285714285714286,0.8571428571428571,0.8,0.8,0.8235294117647058,8.291682720184326,7.384267330169678,7.362190246582031,7.445589542388916,7.320448160171509,7.390120506286621,7.423033952713013,7.691830158233643,7.324429988861084,7.374610900878906
11,62,STACK2,0.9838709677419355,0.9838709677419355,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8857142857142857,0.8571428571428571,0.8857142857142857,0.8285714285714286,0.9428571428571428,0.8571428571428571,0.8857142857142857,0.9714285714285714,0.9428571428571428,0.7941176470588235,9.602887868881226,8.216793775558472,9.145119905471802,9.037822723388672,9.198145389556885,9.230172157287598,9.096202850341797,9.155499696731567,8.987032175064087,8.970980882644653
12,94,STACK2,1.0,0.9893617021276596,1.0,1.0,0.9893617021276596,1.0,0.9893617021276596,0.9893617021276596,0.9893617021276596,0.9893617021276596,0.8571428571428571,0.9142857142857143,0.9428571428571428,0.8857142857142857,0.9428571428571428,0.8857142857142857,0.9142857142857143,0.9428571428571428,0.8857142857142857,0.9117647058823529,9.964137315750122,9.311362266540527,10.55424976348877,9.912509679794312,10.029238224029541,11.31590723991394,11.427707195281982,9.794576406478882,9.822080850601196,9.818440437316895
13,125,STACK2,1.0,1.0,1.0,1.0,1.0,0.992,0.992,0.992,0.992,0.992,0.8857142857142857,0.8857142857142857,0.9142857142857143,0.8857142857142857,0.9428571428571428,0.8571428571428571,0.9714285714285714,0.9428571428571428,0.9714285714285714,0.8823529411764706,10.387771368026733,9.924425601959229,10.976636171340942,10.439576864242554,10.66269564628601,10.833308219909668,11.398573875427246,10.755813598632812,10.796869277954102,11.050392627716064
14,157,STACK2,0.9936305732484076,0.9936305732484076,1.0,0.9936305732484076,0.9936305732484076,0.9936305732484076,1.0,0.9936305732484076,0.9936305732484076,0.9936305732484076,0.8857142857142857,0.9428571428571428,0.8857142857142857,0.9142857142857143,0.8857142857142857,0.9142857142857143,0.9714285714285714,0.9714285714285714,0.9142857142857143,0.8529411764705882,12.327413558959961,11.120970964431763,12.384535551071167,11.207502603530884,11.647334814071655,11.501048803329468,11.667561054229736,11.99765920639038,11.478364706039429,11.62157940864563
15,188,STACK2,1.0,1.0,1.0,1.0,0.9946808510638298,1.0,1.0,0.9946808510638298,1.0,1.0,0.8857142857142857,0.9142857142857143,0.9428571428571428,0.9142857142857143,0.9142857142857143,0.8857142857142857,0.9714285714285714,0.9714285714285714,0.9428571428571428,0.8823529411764706,12.681805849075317,12.189427852630615,12.728968143463135,11.892953634262085,12.430034637451172,12.302307605743408,12.463489532470703,12.742711782455444,12.445417165756226,12.641437530517578
16,219,STACK2,1.0,1.0,1.0,1.0,0.9954337899543378,1.0,1.0,1.0,1.0,0.9954337899543378,0.9142857142857143,0.9142857142857143,0.9428571428571428,0.9142857142857143,0.9428571428571428,0.9714285714285714,0.9714285714285714,0.9428571428571428,1.0,0.9117647058823529,13.670060873031616,12.885169506072998,14.14616346359253,13.032970666885376,13.563743591308594,13.606841564178467,13.563075304031372,13.29101824760437,13.48886227607727,13.10635781288147
17,251,STACK2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9428571428571428,1.0,0.9428571428571428,0.9142857142857143,0.9428571428571428,0.9428571428571428,1.0,0.9428571428571428,0.9714285714285714,0.8823529411764706,16.786600828170776,16.123180627822876,17.621301889419556,16.767595052719116,17.051777124404907,16.624467134475708,16.845590591430664,16.90961980819702,15.975273132324219,16.517690181732178
18,282,STACK2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9428571428571428,0.9428571428571428,0.9428571428571428,0.9142857142857143,0.9428571428571428,0.9714285714285714,1.0,1.0,1.0,0.9411764705882353,17.13378405570984,17.15095543861389,18.504218578338623,16.71916151046753,17.195030212402344,16.988649129867554,17.093369483947754,17.018006324768066,17.189812898635864,16.47674036026001
19,314,STACK2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9428571428571428,0.9714285714285714,0.9428571428571428,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9411764705882353,17.03894567489624,16.089168787002563,19.06588101387024,16.065303325653076,16.623692512512207,16.58788537979126,16.559877395629883,16.653281450271606,16.691431522369385,16.521340131759644
