,train_size,models,train_scores_fold_1,train_scores_fold_2,train_scores_fold_3,train_scores_fold_4,train_scores_fold_5,train_scores_fold_6,train_scores_fold_7,train_scores_fold_8,train_scores_fold_9,train_scores_fold_10,validation_scores_fold_1,validation_scores_fold_2,validation_scores_fold_3,validation_scores_fold_4,validation_scores_fold_5,validation_scores_fold_6,validation_scores_fold_7,validation_scores_fold_8,validation_scores_fold_9,validation_scores_fold_10,fit_times_fold_1,fit_times_fold_2,fit_times_fold_3,fit_times_fold_4,fit_times_fold_5,fit_times_fold_6,fit_times_fold_7,fit_times_fold_8,fit_times_fold_9,fit_times_fold_10
10,31,minibagmlp,0.967741935483871,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8285714285714286,0.8857142857142857,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7428571428571429,0.8,0.8,0.7428571428571429,0.8529411764705882,0.501671552658081,0.48627305030822754,0.48252344131469727,0.4781053066253662,0.4790053367614746,0.47569870948791504,0.47493743896484375,0.47772812843322754,0.4757204055786133,0.47662353515625
11,62,minibagmlp,1.0,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.9142857142857143,0.8571428571428571,0.6857142857142857,0.7714285714285715,0.8,0.8,0.8285714285714286,0.7714285714285715,0.8571428571428571,0.7058823529411765,0.4808390140533447,0.603407621383667,0.4739093780517578,0.48116087913513184,0.4839320182800293,0.480424165725708,0.48194074630737305,0.473804235458374,0.48178791999816895,0.47832465171813965
12,94,minibagmlp,0.9893617021276596,1.0,0.9893617021276596,0.9787234042553191,0.9787234042553191,0.9787234042553191,0.9787234042553191,0.9787234042553191,0.9787234042553191,0.9787234042553191,0.8571428571428571,0.8857142857142857,0.8,0.8571428571428571,0.8,0.9142857142857143,0.8857142857142857,0.8571428571428571,0.8857142857142857,0.8529411764705882,0.6226212978363037,0.7200098037719727,0.5366621017456055,0.7018163204193115,0.6948223114013672,0.6930980682373047,0.6999435424804688,0.6905224323272705,0.6906580924987793,0.7425787448883057
13,125,minibagmlp,0.984,1.0,0.976,0.984,0.96,0.96,0.96,0.96,0.96,0.96,0.9142857142857143,0.8571428571428571,0.8285714285714286,0.9142857142857143,0.8571428571428571,0.9428571428571428,0.8571428571428571,0.8285714285714286,0.8571428571428571,0.7941176470588235,0.7879374027252197,0.8129918575286865,0.903252363204956,0.9544262886047363,0.6842141151428223,0.6830337047576904,0.6786031723022461,0.6816403865814209,0.683952808380127,0.7176289558410645
14,157,minibagmlp,0.9936305732484076,0.9936305732484076,0.9872611464968153,0.9936305732484076,0.9745222929936306,0.9872611464968153,0.9872611464968153,0.9872611464968153,0.9872611464968153,0.9872611464968153,0.9142857142857143,0.8857142857142857,0.8,0.9142857142857143,0.8285714285714286,0.9142857142857143,0.8571428571428571,0.8857142857142857,0.8571428571428571,0.8529411764705882,0.9023470878601074,0.9839942455291748,0.9331021308898926,1.009892463684082,0.7754025459289551,0.8599739074707031,0.8577084541320801,0.856046199798584,0.8584291934967041,0.9116718769073486
15,188,minibagmlp,0.9840425531914894,0.9893617021276596,0.9946808510638298,0.9893617021276596,0.9893617021276596,0.9893617021276596,0.9893617021276596,0.9893617021276596,0.9893617021276596,0.9893617021276596,0.9142857142857143,0.8571428571428571,0.8,0.9428571428571428,0.8571428571428571,0.9428571428571428,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8235294117647058,1.1525497436523438,1.1336126327514648,1.0732910633087158,1.1384165287017822,1.1413772106170654,1.104928970336914,1.0789446830749512,1.083432674407959,1.0825800895690918,1.7862699031829834
16,219,minibagmlp,0.9908675799086758,0.9908675799086758,0.9863013698630136,0.9908675799086758,0.9954337899543378,0.9908675799086758,0.9908675799086758,0.9908675799086758,0.9908675799086758,0.9908675799086758,0.9428571428571428,0.8571428571428571,0.8285714285714286,0.9142857142857143,0.8571428571428571,0.9714285714285714,0.8857142857142857,0.8,0.8857142857142857,0.8529411764705882,1.9091651439666748,1.792686939239502,1.765559434890747,1.635939359664917,1.624405860900879,1.7803902626037598,1.708080530166626,1.6458702087402344,1.6692564487457275,2.262068510055542
17,251,minibagmlp,0.9840637450199203,0.9920318725099602,0.9840637450199203,0.9840637450199203,0.9840637450199203,0.9840637450199203,0.9840637450199203,0.9920318725099602,0.9880478087649402,0.9880478087649402,0.8857142857142857,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9142857142857143,0.8857142857142857,0.8285714285714286,0.8857142857142857,0.8823529411764706,2.253643274307251,1.5645451545715332,1.706594467163086,1.7884531021118164,1.5147929191589355,1.657153606414795,1.6069145202636719,1.5877339839935303,1.5165801048278809,1.5279004573822021
18,282,minibagmlp,0.9893617021276596,0.9964539007092199,1.0,0.9858156028368794,0.9929078014184397,0.9964539007092199,0.9964539007092199,0.9964539007092199,1.0,1.0,0.9142857142857143,0.8571428571428571,0.8571428571428571,0.8285714285714286,0.8857142857142857,0.9428571428571428,0.8857142857142857,0.8571428571428571,0.9142857142857143,0.9411764705882353,1.621612548828125,1.4946999549865723,1.6916797161102295,1.721475601196289,1.6986677646636963,2.081871747970581,1.772402286529541,1.7407643795013428,1.8069963455200195,2.03511381149292
19,314,minibagmlp,0.9872611464968153,0.9968152866242038,0.9872611464968153,0.9936305732484076,0.9872611464968153,0.9936305732484076,0.9968152866242038,0.9936305732484076,0.9936305732484076,0.9968152866242038,0.8857142857142857,0.9142857142857143,0.8857142857142857,0.8,0.8571428571428571,0.9142857142857143,0.8857142857142857,0.8857142857142857,0.8857142857142857,0.9411764705882353,1.8618059158325195,1.57167387008667,1.7423181533813477,1.869490146636963,1.6679880619049072,2.0958142280578613,1.7608017921447754,1.8307347297668457,1.9179956912994385,2.2862439155578613
