,train_size,models,train_scores_fold_1,train_scores_fold_2,train_scores_fold_3,train_scores_fold_4,train_scores_fold_5,train_scores_fold_6,train_scores_fold_7,train_scores_fold_8,train_scores_fold_9,train_scores_fold_10,validation_scores_fold_1,validation_scores_fold_2,validation_scores_fold_3,validation_scores_fold_4,validation_scores_fold_5,validation_scores_fold_6,validation_scores_fold_7,validation_scores_fold_8,validation_scores_fold_9,validation_scores_fold_10,fit_times_fold_1,fit_times_fold_2,fit_times_fold_3,fit_times_fold_4,fit_times_fold_5,fit_times_fold_6,fit_times_fold_7,fit_times_fold_8,fit_times_fold_9,fit_times_fold_10
100,31,hard_ensemble,0.9032258064516129,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.6,0.7142857142857143,0.7428571428571429,0.6285714285714286,0.8,0.7428571428571429,0.8,0.7142857142857143,0.8285714285714286,0.7647058823529411,0.018534183502197266,0.021791458129882812,0.019533634185791016,0.019531726837158203,0.02149820327758789,0.019701004028320312,0.01979994773864746,0.02146601676940918,0.01962876319885254,0.019826650619506836
101,62,hard_ensemble,0.967741935483871,0.967741935483871,0.9516129032258065,0.9516129032258065,0.9516129032258065,0.9516129032258065,0.9516129032258065,0.9516129032258065,0.9516129032258065,0.9516129032258065,0.9142857142857143,0.8285714285714286,0.9142857142857143,0.7142857142857143,0.8857142857142857,0.7714285714285715,0.9142857142857143,0.8857142857142857,0.9142857142857143,0.8823529411764706,0.020749330520629883,0.020411968231201172,0.02299332618713379,0.02287745475769043,0.022899627685546875,0.02316904067993164,0.022830486297607422,0.022921085357666016,0.022800922393798828,0.023047685623168945
102,94,hard_ensemble,0.9680851063829787,0.9787234042553191,0.9574468085106383,0.9680851063829787,0.9680851063829787,0.9680851063829787,0.9680851063829787,0.9680851063829787,0.9680851063829787,0.9680851063829787,0.9142857142857143,0.9428571428571428,0.9714285714285714,0.8285714285714286,0.9142857142857143,0.8857142857142857,0.8857142857142857,0.8857142857142857,0.8857142857142857,0.9117647058823529,0.021370649337768555,0.021260499954223633,0.021958112716674805,0.020873546600341797,0.021202802658081055,0.02116703987121582,0.020994186401367188,0.020589113235473633,0.02113819122314453,0.02071523666381836
103,125,hard_ensemble,0.968,0.976,0.96,0.976,0.968,0.968,0.968,0.968,0.968,0.968,0.9142857142857143,0.9142857142857143,1.0,0.8,0.8571428571428571,0.8857142857142857,0.9142857142857143,0.8857142857142857,0.9142857142857143,0.9705882352941176,0.02255868911743164,0.023183107376098633,0.024224281311035156,0.025097370147705078,0.025290966033935547,0.024927139282226562,0.02490067481994629,0.025009870529174805,0.024938106536865234,0.024951457977294922
104,157,hard_ensemble,0.9681528662420382,0.9681528662420382,0.9617834394904459,0.9745222929936306,0.9681528662420382,0.9681528662420382,0.9681528662420382,0.9681528662420382,0.9681528662420382,0.9681528662420382,0.9142857142857143,0.8571428571428571,0.9428571428571428,0.8285714285714286,0.8,0.8857142857142857,0.9714285714285714,0.8857142857142857,0.9142857142857143,0.8823529411764706,0.024337053298950195,0.028009891510009766,0.027480125427246094,0.02886223793029785,0.026596546173095703,0.027499914169311523,0.026675939559936523,0.02718830108642578,0.02659916877746582,0.026955842971801758
105,188,hard_ensemble,0.9680851063829787,0.973404255319149,0.9627659574468085,0.973404255319149,0.9680851063829787,0.9680851063829787,0.9680851063829787,0.9680851063829787,0.9680851063829787,0.9680851063829787,0.9428571428571428,0.8285714285714286,0.9428571428571428,0.8571428571428571,0.8857142857142857,0.8571428571428571,0.9428571428571428,0.9428571428571428,0.8857142857142857,0.9411764705882353,0.023991107940673828,0.029206514358520508,0.027815818786621094,0.030606508255004883,0.030740976333618164,0.028455257415771484,0.03014397621154785,0.03200984001159668,0.030193805694580078,0.03000330924987793
106,219,hard_ensemble,0.9726027397260274,0.9771689497716894,0.9680365296803652,0.9726027397260274,0.9726027397260274,0.9726027397260274,0.9680365296803652,0.9680365296803652,0.9680365296803652,0.9680365296803652,0.9142857142857143,0.8285714285714286,0.9142857142857143,0.8571428571428571,0.8857142857142857,0.9714285714285714,0.9714285714285714,0.9428571428571428,0.8857142857142857,0.9705882352941176,0.029697656631469727,0.03057241439819336,0.02926468849182129,0.028382062911987305,0.0330960750579834,0.03132319450378418,0.03097081184387207,0.02647852897644043,0.024892091751098633,0.024745464324951172
107,251,hard_ensemble,0.9721115537848606,0.9760956175298805,0.9681274900398407,0.9760956175298805,0.9721115537848606,0.9721115537848606,0.9681274900398407,0.9721115537848606,0.9721115537848606,0.9721115537848606,0.9428571428571428,0.8857142857142857,1.0,0.8857142857142857,0.8857142857142857,0.9428571428571428,1.0,0.9428571428571428,0.9142857142857143,0.9411764705882353,0.03212475776672363,0.026752948760986328,0.0256345272064209,0.02557206153869629,0.026491403579711914,0.024155855178833008,0.027955293655395508,0.025301694869995117,0.03016042709350586,0.03071904182434082
108,282,hard_ensemble,0.975177304964539,0.9787234042553191,0.9787234042553191,0.9787234042553191,0.9787234042553191,0.975177304964539,0.975177304964539,0.9787234042553191,0.9716312056737588,0.9716312056737588,0.9428571428571428,0.8571428571428571,1.0,0.8857142857142857,0.9142857142857143,1.0,0.9714285714285714,0.9142857142857143,0.9142857142857143,0.9411764705882353,0.030094385147094727,0.030190467834472656,0.029958486557006836,0.029311418533325195,0.027626991271972656,0.029706239700317383,0.029569387435913086,0.027667999267578125,0.029155969619750977,0.02732086181640625
109,314,hard_ensemble,0.9777070063694268,0.9808917197452229,0.9745222929936306,0.9808917197452229,0.9808917197452229,0.9808917197452229,0.9745222929936306,0.9808917197452229,0.9745222929936306,0.9745222929936306,0.9428571428571428,0.8857142857142857,1.0,0.8571428571428571,0.9428571428571428,0.9714285714285714,0.9714285714285714,0.9142857142857143,0.9142857142857143,0.9411764705882353,0.03168368339538574,0.031592607498168945,0.031839609146118164,0.028937578201293945,0.031609535217285156,0.029465913772583008,0.03339886665344238,0.030225515365600586,0.030327796936035156,0.030387401580810547
