Gene,TotalEvidenceCounts,EvidenceHit:MyList,EvidenceGO:MyList,EvidencePPI:MyList
10021,3.0,1,1,1
5781,3.0,1,1,1
367,3.0,1,1,1
7504,3.0,1,1,1
2212,3.0,1,1,1
64065,3.0,1,1,1
4790,3.0,1,1,1
8195,3.0,1,1,1
2668,3.0,1,1,1
2065,3.0,1,1,1
6834,3.0,1,1,1
6899,2.0,1,1,0
55131,2.0,1,0,1
3758,2.0,1,1,0
8869,2.0,1,1,0
146227,2.0,1,0,1
79710,2.0,1,0,1
51360,2.0,1,1,0
2121,2.0,1,1,0
1747,2.0,1,1,0
10560,2.0,1,1,0
4010,2.0,1,1,0
7401,2.0,1,1,0
4014,2.0,1,0,1
29915,2.0,1,0,1
6913,2.0,1,1,0
29071,2.0,1,1,0
170302,2.0,1,1,0
51099,2.0,1,1,0
147372,2.0,1,1,0
9496,2.0,1,1,0
2733,2.0,1,0,1
6559,2.0,1,1,0
57477,2.0,1,1,0
3166,1.0,1,0,0
55640,1.0,1,0,0
9488,1.0,1,0,0
145173,1.0,1,0,0
113189,1.0,1,0,0
219844,1.0,1,0,0
